sample_id,image_path,parchment_tone,ink_family,stroke_width_px,scan_gain,difficulty_tier,visual_variant,degradation_label,edge_bleed_score,reverse_showthrough_score,pigment_loss_score
raw_ms_00803,images/raw_ms_00803.png,foxed,mixed,4,1.019,medium,foxed_noise,abrasion,0.0,0.0,0.54
raw_ms_00804,images/raw_ms_00804.png,foxed,iron_gall,4,1.024,easy,standard,feathering,1.151,0.0,0.0
raw_ms_00805,images/raw_ms_00805.png,neutral,iron_gall,5,0.877,hard,foxed_noise,abrasion,0.0,0.083,0.472
raw_ms_00806,images/raw_ms_00806.png,foxed,mixed,4,0.941,hard,foxed_noise,stable_ink,0.0,0.055,0.031
raw_ms_00807,images/raw_ms_00807.png,neutral,carbon,6,0.879,hard,foxed_noise,abrasion,0.073,0.0,0.586
raw_ms_00808,images/raw_ms_00808.png,foxed,carbon,6,1.005,hard,scanner_jitter,bleed_through,0.0,0.414,0.067
raw_ms_00809,images/raw_ms_00809.png,warm,carbon,9,1.058,easy,standard,abrasion,0.0,0.0,1.016
raw_ms_00810,images/raw_ms_00810.png,warm,sepia,8,1.113,medium,standard,feathering,0.856,0.0,0.029
raw_ms_00811,images/raw_ms_00811.png,foxed,iron_gall,7,1.03,easy,standard,salt_bloom,0.0,0.0,0.41
raw_ms_00812,images/raw_ms_00812.png,warm,iron_gall,8,1.011,easy,standard,abrasion,0.0,0.0,1.167
raw_ms_00813,images/raw_ms_00813.png,warm,sepia,9,0.877,easy,standard,bleed_through,0.0,1.034,0.0
raw_ms_00814,images/raw_ms_00814.png,cool,mixed,5,1.127,hard,scanner_jitter,abrasion,0.048,0.0,0.317
raw_ms_00815,images/raw_ms_00815.png,warm,carbon,9,0.991,easy,standard,salt_bloom,0.0,0.0,0.404
raw_ms_00816,images/raw_ms_00816.png,neutral,carbon,7,0.977,medium,foxed_noise,feathering,0.508,0.0,0.02
raw_ms_00817,images/raw_ms_00817.png,warm,sepia,5,0.911,hard,foxed_noise,feathering,0.553,0.076,0.044
raw_ms_00818,images/raw_ms_00818.png,cool,sepia,9,1.006,easy,low_contrast,feathering,0.973,0.0,0.0
raw_ms_00819,images/raw_ms_00819.png,warm,sepia,4,1.131,hard,low_contrast,stable_ink,0.062,0.0,0.062
raw_ms_00820,images/raw_ms_00820.png,cool,sepia,4,0.913,hard,scanner_jitter,stable_ink,0.048,0.0,0.027
raw_ms_00821,images/raw_ms_00821.png,foxed,iron_gall,8,1.091,medium,foxed_noise,salt_bloom,0.0,0.0,0.236
raw_ms_00822,images/raw_ms_00822.png,foxed,iron_gall,9,1.018,medium,scanner_jitter,abrasion,0.0,0.035,0.547
raw_ms_00823,images/raw_ms_00823.png,neutral,mixed,4,0.958,medium,standard,stable_ink,0.0,0.039,0.0
raw_ms_00824,images/raw_ms_00824.png,neutral,iron_gall,5,1.073,hard,scanner_jitter,feathering,0.424,0.08,0.08
raw_ms_00825,images/raw_ms_00825.png,neutral,sepia,6,0.932,easy,standard,feathering,1.17,0.0,0.0
raw_ms_00826,images/raw_ms_00826.png,foxed,sepia,5,1.126,hard,standard,bleed_through,0.0,0.311,0.048
raw_ms_00827,images/raw_ms_00827.png,neutral,sepia,4,1.127,medium,foxed_noise,salt_bloom,0.0,0.023,0.218
raw_ms_00828,images/raw_ms_00828.png,foxed,sepia,4,0.886,easy,standard,stable_ink,0.0,0.0,0.0
raw_ms_00829,images/raw_ms_00829.png,cool,iron_gall,7,1.117,hard,scanner_jitter,stable_ink,0.0,0.071,0.041
raw_ms_00830,images/raw_ms_00830.png,neutral,mixed,5,0.926,medium,standard,feathering,0.529,0.039,0.0
raw_ms_00831,images/raw_ms_00831.png,warm,iron_gall,7,0.983,hard,mixed_artifact,stable_ink,0.077,0.0,0.044
raw_ms_00832,images/raw_ms_00832.png,neutral,carbon,9,0.945,easy,standard,stable_ink,0.0,0.0,0.0
raw_ms_00833,images/raw_ms_00833.png,neutral,mixed,4,1.115,hard,mixed_artifact,bleed_through,0.046,0.538,0.026
raw_ms_00834,images/raw_ms_00834.png,neutral,sepia,6,1.038,easy,standard,feathering,1.102,0.0,0.0
raw_ms_00835,images/raw_ms_00835.png,cool,iron_gall,8,1.108,medium,standard,bleed_through,0.024,0.684,0.0
raw_ms_00836,images/raw_ms_00836.png,foxed,sepia,4,1.024,hard,foxed_noise,bleed_through,0.064,0.38,0.037
raw_ms_00837,images/raw_ms_00837.png,neutral,carbon,4,1.048,hard,standard,bleed_through,0.071,0.551,0.041
raw_ms_00838,images/raw_ms_00838.png,neutral,carbon,4,0.959,easy,standard,bleed_through,0.0,0.997,0.0
raw_ms_00839,images/raw_ms_00839.png,foxed,mixed,8,0.885,medium,low_contrast,stable_ink,0.025,0.0,0.0
raw_ms_00840,images/raw_ms_00840.png,warm,iron_gall,5,0.988,easy,standard,stable_ink,0.0,0.0,0.0
raw_ms_00841,images/raw_ms_00841.png,neutral,iron_gall,6,0.967,hard,mixed_artifact,salt_bloom,0.0,0.059,0.201
raw_ms_00842,images/raw_ms_00842.png,neutral,carbon,4,1.123,hard,low_contrast,stable_ink,0.0,0.083,0.048
raw_ms_00843,images/raw_ms_00843.png,warm,iron_gall,9,0.914,easy,standard,bleed_through,0.0,1.107,0.0
raw_ms_00844,images/raw_ms_00844.png,foxed,iron_gall,8,0.998,easy,standard,stable_ink,0.0,0.0,0.0
raw_ms_00845,images/raw_ms_00845.png,neutral,sepia,6,0.892,medium,low_contrast,abrasion,0.0,0.0,0.761
raw_ms_00846,images/raw_ms_00846.png,neutral,iron_gall,4,0.873,easy,standard,abrasion,0.0,0.0,0.896
raw_ms_00847,images/raw_ms_00847.png,warm,mixed,6,1.086,medium,low_contrast,bleed_through,0.0,0.813,0.041
raw_ms_00848,images/raw_ms_00848.png,cool,iron_gall,5,0.88,easy,standard,feathering,0.953,0.0,0.0
raw_ms_00849,images/raw_ms_00849.png,warm,iron_gall,6,0.893,medium,scanner_jitter,stable_ink,0.0,0.0,0.017
raw_ms_00850,images/raw_ms_00850.png,foxed,iron_gall,7,0.94,medium,foxed_noise,salt_bloom,0.0,0.0,0.254
raw_ms_00851,images/raw_ms_00851.png,cool,iron_gall,9,0.992,medium,foxed_noise,stable_ink,0.0,0.0,0.02
raw_ms_00852,images/raw_ms_00852.png,foxed,carbon,5,1.096,medium,low_contrast,stable_ink,0.0,0.028,0.0
raw_ms_00853,images/raw_ms_00853.png,cool,carbon,5,0.957,medium,standard,bleed_through,0.0,0.51,0.021
raw_ms_00854,images/raw_ms_00854.png,neutral,mixed,4,0.912,medium,standard,stable_ink,0.019,0.0,0.0
raw_ms_00855,images/raw_ms_00855.png,cool,carbon,4,0.969,medium,mixed_artifact,salt_bloom,0.029,0.0,0.22
raw_ms_00856,images/raw_ms_00856.png,neutral,iron_gall,4,0.877,easy,standard,feathering,1.097,0.0,0.0
raw_ms_00857,images/raw_ms_00857.png,warm,iron_gall,6,0.98,medium,low_contrast,feathering,0.482,0.024,0.0
raw_ms_00858,images/raw_ms_00858.png,neutral,sepia,7,0.867,medium,low_contrast,feathering,0.511,0.0,0.016
raw_ms_00859,images/raw_ms_00859.png,warm,iron_gall,5,1.127,medium,foxed_noise,feathering,0.619,0.0,0.024
raw_ms_00860,images/raw_ms_00860.png,warm,iron_gall,4,1.049,medium,foxed_noise,feathering,0.531,0.0,0.018
raw_ms_00861,images/raw_ms_00861.png,neutral,iron_gall,7,1.061,hard,scanner_jitter,salt_bloom,0.0,0.061,0.12
raw_ms_00862,images/raw_ms_00862.png,neutral,sepia,7,1.093,medium,low_contrast,salt_bloom,0.0,0.0,0.241
raw_ms_00863,images/raw_ms_00863.png,cool,mixed,4,0.991,hard,foxed_noise,salt_bloom,0.0,0.087,0.144
raw_ms_00864,images/raw_ms_00864.png,neutral,carbon,9,1.085,easy,low_contrast,abrasion,0.0,0.0,1.027
raw_ms_00865,images/raw_ms_00865.png,foxed,mixed,4,0.898,hard,mixed_artifact,bleed_through,0.0,0.514,0.064
raw_ms_00866,images/raw_ms_00866.png,warm,iron_gall,7,1.069,hard,mixed_artifact,bleed_through,0.0,0.35,0.088
raw_ms_00867,images/raw_ms_00867.png,cool,sepia,9,0.93,medium,standard,stable_ink,0.0,0.0,0.024
raw_ms_00868,images/raw_ms_00868.png,cool,sepia,6,1.072,easy,low_contrast,salt_bloom,0.0,0.0,0.32
raw_ms_00869,images/raw_ms_00869.png,cool,iron_gall,4,1.147,medium,standard,stable_ink,0.041,0.0,0.0
raw_ms_00870,images/raw_ms_00870.png,warm,iron_gall,5,1.027,hard,standard,stable_ink,0.0,0.088,0.088
raw_ms_00871,images/raw_ms_00871.png,warm,iron_gall,5,1.049,hard,scanner_jitter,bleed_through,0.08,0.379,0.08
raw_ms_00872,images/raw_ms_00872.png,warm,iron_gall,7,1.116,medium,mixed_artifact,abrasion,0.042,0.0,0.724
raw_ms_00873,images/raw_ms_00873.png,cool,sepia,8,1.002,medium,standard,bleed_through,0.034,0.851,0.0
raw_ms_00874,images/raw_ms_00874.png,warm,mixed,4,1.138,hard,foxed_noise,stable_ink,0.0,0.06,0.06
raw_ms_00875,images/raw_ms_00875.png,cool,iron_gall,4,1.123,medium,mixed_artifact,feathering,0.866,0.0,0.023
raw_ms_00876,images/raw_ms_00876.png,neutral,iron_gall,6,1.073,medium,foxed_noise,bleed_through,0.0,0.866,0.017
raw_ms_00877,images/raw_ms_00877.png,warm,mixed,9,0.884,easy,low_contrast,bleed_through,0.0,1.011,0.0
raw_ms_00878,images/raw_ms_00878.png,warm,iron_gall,7,1.15,hard,scanner_jitter,bleed_through,0.0,0.551,0.07
raw_ms_00879,images/raw_ms_00879.png,neutral,mixed,4,0.885,medium,scanner_jitter,feathering,0.558,0.0,0.02
raw_ms_00880,images/raw_ms_00880.png,cool,iron_gall,4,1.044,medium,standard,bleed_through,0.03,0.761,0.0
raw_ms_00881,images/raw_ms_00881.png,foxed,mixed,7,0.887,medium,standard,bleed_through,0.0,0.772,0.013
raw_ms_00882,images/raw_ms_00882.png,warm,iron_gall,7,0.903,hard,foxed_noise,feathering,0.392,0.078,0.078
raw_ms_00883,images/raw_ms_00883.png,neutral,iron_gall,5,1.037,medium,standard,abrasion,0.0,0.0,0.643
raw_ms_00884,images/raw_ms_00884.png,warm,mixed,9,1.072,easy,low_contrast,feathering,1.146,0.0,0.0
raw_ms_00885,images/raw_ms_00885.png,neutral,sepia,4,1.031,hard,standard,bleed_through,0.068,0.431,0.039
raw_ms_00886,images/raw_ms_00886.png,foxed,carbon,9,1.105,easy,low_contrast,abrasion,0.0,0.0,1.02
raw_ms_00887,images/raw_ms_00887.png,foxed,mixed,5,1.047,hard,mixed_artifact,abrasion,0.055,0.055,0.573
raw_ms_00888,images/raw_ms_00888.png,neutral,iron_gall,4,0.948,medium,mixed_artifact,abrasion,0.0,0.038,0.681
raw_ms_00889,images/raw_ms_00889.png,warm,carbon,4,1.111,hard,foxed_noise,stable_ink,0.0,0.082,0.082
raw_ms_00890,images/raw_ms_00890.png,cool,iron_gall,7,1.013,hard,foxed_noise,feathering,0.282,0.0,0.085
raw_ms_00891,images/raw_ms_00891.png,cool,carbon,8,0.907,medium,standard,stable_ink,0.0,0.021,0.0
raw_ms_00892,images/raw_ms_00892.png,neutral,iron_gall,6,1.016,medium,low_contrast,stable_ink,0.0,0.0,0.01
raw_ms_00893,images/raw_ms_00893.png,cool,carbon,9,1.07,medium,standard,stable_ink,0.0,0.0,0.027
raw_ms_00894,images/raw_ms_00894.png,warm,iron_gall,4,1.065,easy,low_contrast,abrasion,0.0,0.0,0.954
raw_ms_00895,images/raw_ms_00895.png,warm,sepia,4,1.135,medium,scanner_jitter,feathering,0.718,0.0,0.032
raw_ms_00896,images/raw_ms_00896.png,foxed,mixed,7,1.147,easy,standard,abrasion,0.0,0.0,0.967
raw_ms_00897,images/raw_ms_00897.png,neutral,sepia,4,0.944,easy,standard,bleed_through,0.0,0.953,0.0
raw_ms_00898,images/raw_ms_00898.png,neutral,iron_gall,8,1.146,medium,standard,abrasion,0.0,0.042,0.759
raw_ms_00899,images/raw_ms_00899.png,foxed,mixed,5,1.046,medium,low_contrast,stable_ink,0.0,0.0,0.018
raw_ms_00900,images/raw_ms_00900.png,cool,iron_gall,4,0.899,hard,standard,feathering,0.317,0.071,0.04
raw_ms_00901,images/raw_ms_00901.png,foxed,iron_gall,6,1.002,easy,standard,bleed_through,0.0,1.045,0.0
raw_ms_00902,images/raw_ms_00902.png,cool,mixed,7,1.1,easy,standard,stable_ink,0.0,0.0,0.0
raw_ms_00903,images/raw_ms_00903.png,warm,mixed,4,1.108,hard,scanner_jitter,feathering,0.531,0.06,0.034
raw_ms_00904,images/raw_ms_00904.png,cool,mixed,8,1.02,medium,low_contrast,bleed_through,0.0,0.699,0.022
raw_ms_00905,images/raw_ms_00905.png,neutral,iron_gall,5,1.079,easy,low_contrast,abrasion,0.0,0.0,1.055
raw_ms_00906,images/raw_ms_00906.png,neutral,sepia,7,0.977,medium,standard,stable_ink,0.0,0.039,0.0
raw_ms_00907,images/raw_ms_00907.png,neutral,iron_gall,8,0.946,easy,standard,bleed_through,0.0,0.856,0.0
raw_ms_00908,images/raw_ms_00908.png,warm,sepia,8,0.874,easy,standard,stable_ink,0.0,0.0,0.0
raw_ms_00909,images/raw_ms_00909.png,warm,iron_gall,6,1.016,medium,standard,bleed_through,0.0,0.728,0.013
raw_ms_00910,images/raw_ms_00910.png,neutral,sepia,4,0.975,hard,mixed_artifact,bleed_through,0.0,0.25,0.065
raw_ms_00911,images/raw_ms_00911.png,neutral,sepia,7,1.135,easy,standard,salt_bloom,0.0,0.0,0.33
raw_ms_00912,images/raw_ms_00912.png,warm,iron_gall,9,1.068,medium,mixed_artifact,salt_bloom,0.0,0.0,0.193
raw_ms_00913,images/raw_ms_00913.png,foxed,carbon,8,1.023,easy,standard,stable_ink,0.0,0.0,0.0
raw_ms_00914,images/raw_ms_00914.png,cool,carbon,9,1.052,easy,standard,feathering,1.163,0.0,0.0
raw_ms_00915,images/raw_ms_00915.png,neutral,iron_gall,4,0.904,hard,low_contrast,abrasion,0.056,0.056,0.255
raw_ms_00916,images/raw_ms_00916.png,warm,sepia,4,1.123,medium,standard,stable_ink,0.0,0.03,0.0
raw_ms_00917,images/raw_ms_00917.png,neutral,carbon,4,0.969,easy,standard,feathering,1.057,0.0,0.0
raw_ms_00918,images/raw_ms_00918.png,warm,carbon,5,1.134,hard,scanner_jitter,feathering,0.532,0.052,0.03
raw_ms_00919,images/raw_ms_00919.png,warm,sepia,5,0.923,medium,standard,feathering,0.677,0.029,0.0
raw_ms_00920,images/raw_ms_00920.png,foxed,iron_gall,4,0.874,easy,standard,stable_ink,0.0,0.0,0.0
raw_ms_00921,images/raw_ms_00921.png,neutral,carbon,8,0.866,medium,standard,stable_ink,0.0,0.042,0.0
raw_ms_00922,images/raw_ms_00922.png,cool,iron_gall,5,1.019,medium,low_contrast,feathering,0.624,0.032,0.0
raw_ms_00923,images/raw_ms_00923.png,warm,iron_gall,7,0.959,hard,scanner_jitter,stable_ink,0.048,0.048,0.0
raw_ms_00924,images/raw_ms_00924.png,neutral,iron_gall,6,0.964,medium,scanner_jitter,abrasion,0.037,0.0,0.784
raw_ms_00925,images/raw_ms_00925.png,warm,sepia,6,1.061,easy,standard,abrasion,0.0,0.0,1.173
raw_ms_00926,images/raw_ms_00926.png,neutral,mixed,6,0.944,easy,standard,feathering,1.162,0.0,0.0
raw_ms_00927,images/raw_ms_00927.png,neutral,iron_gall,6,1.111,hard,scanner_jitter,bleed_through,0.071,0.535,0.041
raw_ms_00928,images/raw_ms_00928.png,cool,iron_gall,6,1.058,hard,scanner_jitter,bleed_through,0.0,0.243,0.064
raw_ms_00929,images/raw_ms_00929.png,cool,iron_gall,7,0.986,hard,mixed_artifact,feathering,0.479,0.065,0.065
raw_ms_00930,images/raw_ms_00930.png,neutral,iron_gall,6,1.147,easy,standard,stable_ink,0.0,0.0,0.0
raw_ms_00931,images/raw_ms_00931.png,cool,mixed,7,0.956,easy,standard,stable_ink,0.0,0.0,0.0
raw_ms_00932,images/raw_ms_00932.png,cool,iron_gall,9,0.926,easy,standard,stable_ink,0.0,0.0,0.0
raw_ms_00933,images/raw_ms_00933.png,warm,iron_gall,5,0.958,medium,scanner_jitter,salt_bloom,0.0,0.03,0.183
raw_ms_00934,images/raw_ms_00934.png,neutral,carbon,4,0.985,medium,scanner_jitter,stable_ink,0.0,0.0,0.026
raw_ms_00935,images/raw_ms_00935.png,foxed,mixed,7,1.026,medium,standard,abrasion,0.018,0.0,0.59
raw_ms_00936,images/raw_ms_00936.png,cool,iron_gall,6,0.954,hard,foxed_noise,feathering,0.34,0.075,0.043
raw_ms_00937,images/raw_ms_00937.png,cool,iron_gall,8,1.117,medium,low_contrast,bleed_through,0.0,0.807,0.038
raw_ms_00938,images/raw_ms_00938.png,warm,carbon,9,1.127,medium,scanner_jitter,feathering,0.654,0.0,0.036
raw_ms_00939,images/raw_ms_00939.png,neutral,carbon,4,0.913,medium,scanner_jitter,salt_bloom,0.0,0.0,0.25
raw_ms_00940,images/raw_ms_00940.png,foxed,mixed,7,0.995,hard,low_contrast,bleed_through,0.077,0.415,0.077
raw_ms_00941,images/raw_ms_00941.png,warm,iron_gall,6,0.875,hard,mixed_artifact,bleed_through,0.085,0.603,0.049
raw_ms_00942,images/raw_ms_00942.png,neutral,carbon,7,0.872,easy,low_contrast,feathering,1.169,0.0,0.0
raw_ms_00943,images/raw_ms_00943.png,warm,carbon,7,1.075,easy,standard,feathering,0.989,0.0,0.0
raw_ms_00944,images/raw_ms_00944.png,cool,iron_gall,7,1.079,easy,standard,feathering,1.142,0.0,0.0
raw_ms_00945,images/raw_ms_00945.png,neutral,iron_gall,6,1.071,medium,standard,feathering,0.721,0.0,0.019
raw_ms_00946,images/raw_ms_00946.png,foxed,iron_gall,8,1.122,medium,standard,abrasion,0.0,0.027,0.731
raw_ms_00947,images/raw_ms_00947.png,cool,iron_gall,4,0.865,hard,mixed_artifact,abrasion,0.06,0.0,0.486
raw_ms_00948,images/raw_ms_00948.png,cool,carbon,4,0.863,easy,standard,salt_bloom,0.0,0.0,0.32
raw_ms_00949,images/raw_ms_00949.png,cool,carbon,4,1.063,easy,standard,salt_bloom,0.0,0.0,0.375
raw_ms_00950,images/raw_ms_00950.png,warm,sepia,5,1.12,medium,standard,abrasion,0.0,0.04,0.709
raw_ms_00951,images/raw_ms_00951.png,warm,carbon,4,0.915,medium,standard,bleed_through,0.0,0.663,0.018
raw_ms_00952,images/raw_ms_00952.png,neutral,iron_gall,9,0.87,medium,standard,bleed_through,0.026,0.869,0.0
raw_ms_00953,images/raw_ms_00953.png,foxed,iron_gall,5,0.944,easy,standard,stable_ink,0.0,0.0,0.0
raw_ms_00954,images/raw_ms_00954.png,cool,carbon,5,0.906,easy,standard,abrasion,0.0,0.0,1.121
raw_ms_00955,images/raw_ms_00955.png,warm,sepia,5,1.049,medium,standard,bleed_through,0.0,0.595,0.04
raw_ms_00956,images/raw_ms_00956.png,neutral,iron_gall,5,0.915,medium,standard,abrasion,0.0,0.021,0.503
raw_ms_00957,images/raw_ms_00957.png,neutral,sepia,6,1.035,medium,standard,abrasion,0.029,0.0,0.741
raw_ms_00958,images/raw_ms_00958.png,neutral,sepia,7,1.127,easy,standard,bleed_through,0.0,0.905,0.0
raw_ms_00959,images/raw_ms_00959.png,cool,sepia,7,1.058,medium,mixed_artifact,stable_ink,0.0,0.0,0.04
raw_ms_00960,images/raw_ms_00960.png,cool,iron_gall,9,0.906,medium,foxed_noise,salt_bloom,0.0,0.037,0.28
raw_ms_00961,images/raw_ms_00961.png,neutral,iron_gall,8,0.933,medium,standard,bleed_through,0.0,0.584,0.026
raw_ms_00962,images/raw_ms_00962.png,warm,sepia,6,1.004,hard,low_contrast,feathering,0.515,0.057,0.057
raw_ms_00963,images/raw_ms_00963.png,neutral,iron_gall,9,0.999,easy,standard,stable_ink,0.0,0.0,0.0
raw_ms_00964,images/raw_ms_00964.png,neutral,iron_gall,9,1.145,medium,mixed_artifact,salt_bloom,0.0,0.039,0.265
raw_ms_00965,images/raw_ms_00965.png,warm,iron_gall,4,1.104,hard,standard,salt_bloom,0.0,0.055,0.095
raw_ms_00966,images/raw_ms_00966.png,foxed,carbon,8,1.011,medium,mixed_artifact,stable_ink,0.0,0.0,0.031
raw_ms_00967,images/raw_ms_00967.png,warm,sepia,9,1.072,medium,foxed_noise,salt_bloom,0.0,0.038,0.205
raw_ms_00968,images/raw_ms_00968.png,neutral,iron_gall,4,0.994,medium,low_contrast,salt_bloom,0.0,0.0,0.193
raw_ms_00969,images/raw_ms_00969.png,warm,iron_gall,4,0.926,easy,standard,abrasion,0.0,0.0,1.032
raw_ms_00970,images/raw_ms_00970.png,warm,iron_gall,8,1.116,medium,standard,abrasion,0.0,0.035,0.504
raw_ms_00971,images/raw_ms_00971.png,cool,iron_gall,9,1.043,medium,foxed_noise,stable_ink,0.0,0.0,0.013
raw_ms_00972,images/raw_ms_00972.png,warm,iron_gall,9,1.075,easy,standard,salt_bloom,0.0,0.0,0.356
raw_ms_00973,images/raw_ms_00973.png,warm,iron_gall,7,0.953,hard,scanner_jitter,stable_ink,0.0,0.05,0.029
raw_ms_00974,images/raw_ms_00974.png,cool,iron_gall,8,0.905,medium,low_contrast,bleed_through,0.0,0.823,0.011
raw_ms_00975,images/raw_ms_00975.png,warm,iron_gall,7,1.129,medium,low_contrast,abrasion,0.0,0.0,0.638
raw_ms_00976,images/raw_ms_00976.png,warm,sepia,7,0.988,hard,mixed_artifact,salt_bloom,0.064,0.064,0.106
raw_ms_00977,images/raw_ms_00977.png,cool,carbon,4,1.054,medium,standard,feathering,0.647,0.031,0.0
raw_ms_00978,images/raw_ms_00978.png,foxed,mixed,9,1.121,easy,standard,abrasion,0.0,0.0,0.937
raw_ms_00979,images/raw_ms_00979.png,neutral,carbon,6,0.893,hard,mixed_artifact,salt_bloom,0.087,0.0,0.096
raw_ms_00980,images/raw_ms_00980.png,cool,iron_gall,9,0.914,medium,standard,salt_bloom,0.0,0.037,0.232
raw_ms_00981,images/raw_ms_00981.png,neutral,iron_gall,5,1.117,hard,low_contrast,salt_bloom,0.0,0.046,0.126
raw_ms_00982,images/raw_ms_00982.png,cool,iron_gall,4,0.942,hard,foxed_noise,bleed_through,0.046,0.378,0.026
raw_ms_00983,images/raw_ms_00983.png,neutral,iron_gall,9,1.065,easy,standard,salt_bloom,0.0,0.0,0.375
raw_ms_00984,images/raw_ms_00984.png,cool,carbon,6,0.948,easy,standard,feathering,1.081,0.0,0.0
raw_ms_00985,images/raw_ms_00985.png,cool,iron_gall,6,1.041,hard,low_contrast,bleed_through,0.0,0.414,0.085
raw_ms_00986,images/raw_ms_00986.png,cool,iron_gall,5,0.904,hard,standard,salt_bloom,0.053,0.0,0.215
raw_ms_00987,images/raw_ms_00987.png,foxed,iron_gall,4,0.885,easy,standard,stable_ink,0.0,0.0,0.0
raw_ms_00988,images/raw_ms_00988.png,warm,iron_gall,5,0.887,easy,standard,bleed_through,0.0,0.957,0.0
raw_ms_00989,images/raw_ms_00989.png,warm,sepia,8,0.946,medium,low_contrast,stable_ink,0.0,0.0,0.015
raw_ms_00990,images/raw_ms_00990.png,foxed,iron_gall,7,1.024,hard,low_contrast,feathering,0.264,0.06,0.034
raw_ms_00991,images/raw_ms_00991.png,foxed,sepia,9,1.128,medium,standard,feathering,0.554,0.0,0.035
raw_ms_00992,images/raw_ms_00992.png,warm,carbon,7,0.901,easy,standard,stable_ink,0.0,0.0,0.0
raw_ms_00993,images/raw_ms_00993.png,neutral,carbon,8,0.898,medium,foxed_noise,bleed_through,0.0,0.822,0.017
raw_ms_00994,images/raw_ms_00994.png,warm,iron_gall,5,0.97,medium,scanner_jitter,bleed_through,0.036,0.526,0.0
raw_ms_00995,images/raw_ms_00995.png,neutral,iron_gall,4,1.124,easy,low_contrast,salt_bloom,0.0,0.0,0.325
raw_ms_00996,images/raw_ms_00996.png,warm,iron_gall,8,0.913,medium,standard,stable_ink,0.0,0.0,0.024
raw_ms_00997,images/raw_ms_00997.png,neutral,carbon,8,1.135,easy,standard,feathering,0.869,0.0,0.0
raw_ms_00998,images/raw_ms_00998.png,warm,iron_gall,6,1.025,hard,low_contrast,bleed_through,0.05,0.246,0.05
raw_ms_00999,images/raw_ms_00999.png,neutral,iron_gall,5,0.984,easy,standard,stable_ink,0.0,0.0,0.0
raw_ms_01000,images/raw_ms_01000.png,cool,carbon,9,1.097,medium,standard,salt_bloom,0.028,0.0,0.24
raw_ms_01001,images/raw_ms_01001.png,neutral,iron_gall,4,0.936,medium,scanner_jitter,salt_bloom,0.021,0.0,0.205
raw_ms_01002,images/raw_ms_01002.png,cool,iron_gall,5,0.885,hard,mixed_artifact,stable_ink,0.073,0.0,0.073
raw_ms_01003,images/raw_ms_01003.png,warm,sepia,9,0.945,medium,standard,stable_ink,0.0,0.0,0.024
raw_ms_01004,images/raw_ms_01004.png,foxed,iron_gall,6,1.026,medium,standard,feathering,0.851,0.0,0.02
raw_ms_01005,images/raw_ms_01005.png,warm,mixed,6,1.119,medium,standard,stable_ink,0.029,0.0,0.0
raw_ms_01006,images/raw_ms_01006.png,neutral,mixed,5,0.909,hard,mixed_artifact,salt_bloom,0.0,0.054,0.167
raw_ms_01007,images/raw_ms_01007.png,warm,iron_gall,7,1.041,hard,foxed_noise,abrasion,0.047,0.0,0.32
raw_ms_01008,images/raw_ms_01008.png,cool,iron_gall,6,0.874,hard,low_contrast,stable_ink,0.0,0.062,0.062
raw_ms_01009,images/raw_ms_01009.png,warm,iron_gall,4,1.141,medium,foxed_noise,stable_ink,0.0,0.041,0.0
raw_ms_01010,images/raw_ms_01010.png,foxed,iron_gall,6,0.959,medium,standard,abrasion,0.0,0.0,0.748
raw_ms_01011,images/raw_ms_01011.png,cool,sepia,8,1.074,medium,low_contrast,bleed_through,0.0,0.787,0.028
raw_ms_01012,images/raw_ms_01012.png,neutral,iron_gall,5,0.887,easy,standard,stable_ink,0.0,0.0,0.0
raw_ms_01013,images/raw_ms_01013.png,neutral,carbon,5,1.101,medium,low_contrast,abrasion,0.018,0.0,0.703
raw_ms_01014,images/raw_ms_01014.png,warm,carbon,7,1.052,hard,mixed_artifact,bleed_through,0.085,0.602,0.085
raw_ms_01015,images/raw_ms_01015.png,cool,iron_gall,4,1.1,easy,standard,abrasion,0.0,0.0,1.015
raw_ms_01016,images/raw_ms_01016.png,foxed,sepia,6,1.023,hard,mixed_artifact,feathering,0.581,0.0,0.055
raw_ms_01017,images/raw_ms_01017.png,neutral,sepia,6,0.954,medium,low_contrast,abrasion,0.0,0.0,0.777
raw_ms_01018,images/raw_ms_01018.png,warm,sepia,4,0.911,hard,standard,feathering,0.372,0.076,0.043
raw_ms_01019,images/raw_ms_01019.png,cool,carbon,4,0.92,easy,standard,feathering,1.05,0.0,0.0
raw_ms_01020,images/raw_ms_01020.png,cool,carbon,5,0.941,medium,scanner_jitter,salt_bloom,0.0,0.035,0.261
raw_ms_01021,images/raw_ms_01021.png,warm,sepia,7,0.886,medium,foxed_noise,stable_ink,0.0,0.0,0.04
raw_ms_01022,images/raw_ms_01022.png,warm,sepia,9,0.934,medium,standard,abrasion,0.0,0.0,0.62
raw_ms_01023,images/raw_ms_01023.png,neutral,iron_gall,4,1.13,medium,standard,abrasion,0.041,0.0,0.836
raw_ms_01024,images/raw_ms_01024.png,cool,sepia,4,0.902,hard,mixed_artifact,feathering,0.477,0.0,0.076
raw_ms_01025,images/raw_ms_01025.png,warm,iron_gall,7,1.062,easy,standard,salt_bloom,0.0,0.0,0.408
raw_ms_01026,images/raw_ms_01026.png,cool,carbon,9,0.874,easy,standard,stable_ink,0.0,0.0,0.0
